Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
SNORD43	0	0	0	1	3	1
SNORD44	0	0	2	1	1	2
SNORD45A	2	0	1	1	2	2
SNORD45B	1	0	1	5	5	3
SNORD45C	5	1	4	1	3	2
SNORD46	1	0	1	1	0	3
SNORD47	7	9	2	7	10	8
SNORD48	7	5	3	5	1	0
SNORD49A	3	3	3	7	6	1
SNORD49B	0	1	0	0	0	0
SNORD4A	4	2	0	5	5	1
SNORD4B	1	0	0	1	0	1
SNORD5	1	3	0	0	1	1
SNORD50A	3	3	1	2	4	2
SNORD50B	2	4	1	12	6	2
SNORD51	1	1	0	0	0	0
SNORD52	8	13	17	11	10	6
SNORD53	0	0	0	0	0	0
SNORD54	3	0	0	6	2	0
SNORD55	0	2	0	6	1	3
SNORD56	10	2	12	8	7	7
SNORD56B	2	2	1	3	2	1
SNORD57	2	0	3	13	6	0
SNORD58A	1	0	3	2	0	1
SNORD58B	0	0	0	0	0	0
SNORD58C	0	0	0	4	1	0
SNORD59A	0	3	0	2	1	0
SNORD59B	2	0	2	1	0	0
SNORD6	3	4	1	2	3	0
SNORD60	1	3	2	3	1	0
SNORD61	0	0	0	0	1	0
SNORD62A	0	1	1	1	2	0
SNORD62B	0	1	1	1	2	0
SNORD63	3	5	5	7	10	6
SNORD64	0	0	0	0	0	0
SNORD65	0	0	0	1	0	0
SNORD66	0	0	0	0	0	1
SNORD67	0	1	1	1	3	0
SNORD68	3	4	4	10	4	5
SNORD69	3	3	4	4	5	2
SNORD7	1	1	2	0	2	0
SNORD70	0	0	0	3	1	0
SNORD71	2	1	2	2	4	3
SNORD72	0	0	0	0	1	0
SNORD73A	0	0	0	0	0	0
SNORD74	2	0	2	3	1	0
SNORD75	0	0	0	0	0	1
SNORD76	0	0	3	3	1	4
SNORD77	1	0	0	0	1	0
SNORD78	0	0	1	1	0	4
SNORD79	1	3	3	6	6	3
SNORD8	1	0	0	4	2	4
SNORD80	3	3	4	15	4	5
SNORD81	1	1	1	1	0	3
SNORD82	0	0	0	0	0	0
SNORD83A	2	3	4	1	2	0
SNORD83B	8	3	2	5	12	3
SNORD84	6	1	4	4	7	3
SNORD85	0	0	2	0	0	0
SNORD86	0	0	0	0	0	0
SNORD87	8	4	9	2	12	3
SNORD88A	1	0	0	4	0	1
SNORD88B	13	19	7	24	15	6
SNORD88C	0	1	2	1	1	2
SNORD89	6	3	2	6	11	3
SNORD9	1	1	1	0	1	0
SNORD90	0	0	0	0	0	0
SNORD91A	2	0	0	0	3	3
SNORD91B	1	0	0	0	0	0
SNORD92	0	0	1	0	0	0
SNORD93	0	0	1	0	0	0
SNORD94	3	3	2	2	3	4
SNORD95	7	9	3	7	3	4
SNORD96A	9	5	8	16	12	4
SNORD96B	0	0	0	0	0	0
SNORD97	0	0	2	0	1	2
SNORD98	0	1	0	0	0	0
SNORD99	9	15	16	20	11	6
SNPH	4	11	49	16	87	12
SNRK	418	283.8999	507.623	429.3171	708.765	244.842
SNRK-AS1	0	7.10001	23.3775	14.6828	18.2352	6.15837
SNRNP200	2143	2335	2554	3025.93	3040	1529
SNRNP25	1211	1498	330	567	593	326
SNRNP27	260.9999	259	262	336.0003	403.0003	211.0002
SNRNP35	166.0002	181	275.0004	306	332	152
SNRNP40	1021	1206	1320	1790	1420	774
SNRNP48	115.392	99.2261	140.405	168.164	199.926	90.3687
SNRNP70	112	139	87	141	105	56
SNRPA	409	495	368	628	453	250
SNRPA1	881	989	853	1316	1077	602
SNRPB	4702	6271	4549	7487	4211	2349.004
SNRPB2	472.0004	531	336.9995	658.0003	428	265.0002
SNRPC	770.0002	954.9996	779.0001	1371.0037	856	464.9999
SNRPD1	1094	1469	843	1667	933	598
SNRPD2	2481.9961	3361.9967	2212.9957	4123.0023	2660.9957	1231.9965
SNRPD2P2	0	0	0	0	0	0
SNRPD3	1088.66	1156.7	920.848	1813.07	1145.13	585.131
SNRPE	391	661	303	708	383	292
SNRPF	322	518	267	641	358	175
SNRPG	1102	1567	949	1989	964	570
SNRPN	181.611	123.79	239.5595	296.3017	352.50784	149.2863516
SNTA1	26	19	23	29	59	25
SNTB1	113	104	134	214	154	79
SNTB2	285.571	213.476	347.779	311.145	370.335	177.589
SNTG1	0	1	2	1	1	3
SNTG2	0	1	2	2	3	0
SNTN	23.9596	14.2867	24.447	24.5709	23.7853	16.8308
SNUPN	191.9996	209.0003	306.0001	341	394	161
SNURF	206.3893	160.2106	269.4396	339.6981	401.4914	153.7135
SNW1	659	647	742	1139	888	481
SNX1	981.8628	1016.7968	1147.3221	1275.975	1287.5684	699.1231
SNX10	713.9998	847	967.9994	1028	1332.9998	686
SNX11	276.0003	337.0002	352.9996	407	513.9998	264
SNX12	106	85	109	123	124.000113128	60
SNX13	117	106	161	149	227	133
SNX14	403	464	471	418	607	319
SNX15	75.7026	93.2532	120.9057	114.7092	147.1485	59.48842
SNX16	13	13	25	17	35.00004	14
SNX17	3865.9213	4231.8374	3807.60161	5587.90270054405	3736.6715	1950.94163
SNX18	81	88	74.99996	73.99998	146	46.9999
SNX19	473	512	646	758	884	405
SNX2	221.223	192	310.309	300.195	420.641	223.92
SNX20	577.3729	504.2656	756.48188	631.4035	1079.60831	432.64558
SNX21	52.31772	44.7563000317496	32.6145188	59.2897191618	70.471545065	19.634282
SNX22	147.42400982289	193.189209175	158.39400210409	203.107	215.8483	105.8920219145
SNX24	7	5	7	10	17	8
SNX25	30	16	29	35	55	16
SNX27	787.026	1010.32	952.951	1162.79	1059.67	734.815
SNX29	160.293	109	186.062	178.445	263.329	105
SNX29P1	2.12637	1.16859	8.17772	2.05949	2.62326	2.38038
SNX29P2	42.8236	9.83141	47.7604	23.7089	60.0475	6.61962
SNX3	187	171	111	220	186	98
SNX30	61	67	55	54	81	16
SNX31	1	0	1	4	3	3
SNX32	4	6	12	6	4	9
SNX33	17	20	12	6	30	4
SNX4	362	511	392.99959	586	424	260.9996
SNX5	716	875	756	906	973	590
SNX6	962.0004	882	1174.995	1412.9951	1371.0044	790.9996
SNX7	0	1	0	5	5	0
SNX8	277	235	265	356	324	163
SNX9	82	58	82	132	107	39
SOAT1	1333.9449	1539.51736	1273.02102	1506.89519	1313.2432	686.711
SOAT2	5	14	1	24	4	5
SOBP	16	6	11	15	12	15
SOCS1	116	147	75	131	48	48
SOCS2	219.9999	388.00039	566.99976	551.99987	1334.99995	569.9996
SOCS2-AS1	2	6	6	9	16	11
SOCS3	25	13	11	15.3744	27	10.1687
SOCS4	159.8275	163.6633	210.8524	262.732	274.034	133.6467
SOCS5	51	53	88	91	104	58
SOCS6	53	48	46	61	58	34
SOCS7	90.218	80.0514	108.632	121.728	171.201	61.3271
SOD1	1300	1317	1284	2588	1462	911
SOD2	141	173.00001	151.99997	203.0002	185	116
SOD3	0	1	0	7	0	2
SOGA1	44.99996	33	54.00001	66.99995	44.99997	47
SOGA2	1	5	13	10	7	10
SOGA3	0	0	9.49535	22.1516	6.32982	3.16359
SOHLH1	2	1	2	0	1	5
SOHLH2	1	1	1	0	3	0
SOLH	147	184	197	232	242	97
SON	2254	2219	2327	2857.002	2920	1293
SORBS1	23.0061	14.02344	27.38977	35.34478	40.8402	17.10443
SORBS2	3.999999914	1	12.324199	9.000006	51	8
SORBS3	33	21.99999	69.00005	17.99999	31	13
SORCS1	5	1	3	6	5	4.999996
SORCS2	2	5	4	9	12	4
SORCS3	0	2	1	3	3	1
SORD	62	53	65	91	48	54
SORL1	1338	1174	1630	1241	2105	761
SORT1	39.999956	44.99997	67	81	35	8.9999969
SOS1	599	523	529	707	466	292
SOS2	105	77	116	123	157	75
SOST	2	0	0	4	1	1
SOSTDC1	0	0	0	0	1	1
SOWAHA	1	1	0	1	2	7
SOWAHB	2	1	5	6	0	0
SOWAHC	45.9193	58.8275	60.1079	101.16	89.2703	34.2848
SOWAHD	1	0	2	0	5	1
SOX1	1	0	2	0	7	1
SOX10	5	1	3	3	3	1
SOX11	7.01738	15.0439	14.0185	10.012	17.0172	13.0168
SOX12	7	6	14	11	3	8
SOX13	19	18	25	17	40	9
SOX14	0	2	1	0	2	0
SOX15	1	0	4	3	3	2
SOX17	2	1	0	5	0	2
SOX18	2	1	1	2	0	1
SOX2	2	2	1	2	2	2
SOX2-OT	32.4624	29.1909	32.359	45.95011	45.66365	43.3602
SOX21	0	0	1	1	0	0
SOX3	0	1	1	0	0	1
SOX30	1	0	5	5	3	5
SOX4	65.6522	89.8987	39.0674	143.663	74.4629	56.5054
SOX5	3.0182	2	5.2313	9.04919	5.08506	5
SOX6	4	5	4	10	6	16
SOX7	19.6711	19.2113	23.1036	35.23	39.366	21.3509
SOX8	1	0	6	1	4	4
SOX9	3	0	0	2	1	1
SP1	147.484211614	144.00024	207.00042257	274.2731	237.911316	130.546472539403
SP100	1461.7712	1433.72148	2111.1242	2337.7827	2672.7897	1507.2145
SP110	484	457.0003	603.9997	754.9998	703.9999	311.0002
SP140	381.0592	313.8794	513.3664	378.3225	733.123	280.3624
SP140L	309.708	303.12	388.005	521.684	367.923	258.3
SP2	194	226	252	296	282	162
SP3	264.99980387	309.000000231028	429.0000129183	378.0000165838	574.0000271936	352
SP4	256.636	261.599	339.03	268.13	444.321	187.503
SP5	1	5	4	3	2	2
SP6	2.9999959	2.0000039	6.999997	3.999999	2.0000005	0
SP7	3.9999996	2.9999961	7.00000393	9.0000047	1.00000039	1.99999961
SP8	0	1	2	1	5	0
SP9	1	0	1	1	1	1
SPA17	16.7361	15.674	13	34	18	21
SPACA1	0	1	2	1	0	2
SPACA3	2	0	1	2	1	0
SPACA4	0	0	0	1	3	1
SPACA5	0	0	0	0	0	0
SPACA5B	0	0	1	1	0	2
SPACA7	1	0	0	0	1	0
SPAG1	47	50	48	75	52.00004	38
SPAG11A	0	0	0	0	2	0
SPAG11B	0	0	3.000001	1	0	3.0000009
SPAG16	68.00002	52.99996	55.00001	75.00004	42.99999272677	26
SPAG17	4	3	5	4	12	5
SPAG4	14	8	19	8	9	5
SPAG5	836	1012	977	1355	1029	695
SPAG5-AS1	16.6276	12.9694	12.3192	13.8854	13.7917	5.28654
SPAG6	7.99907	9.27509	22.6796	13.1859	16.846	11.1554
SPAG7	391	483	437	709	507	328
SPAG8	6	9	16	6	22.00002	7
SPAG9	142.5801	113.94914942	224.217	229.57112089	415.651696186	127.729427
SPAM1	2	0	3	2	1	1
SPANXA1	0	0	0	0	0	0
SPANXA2	1	0	0	0	0	0
SPANXA2-OT1	2.03215	11.0557	9.148	6.10103	6.12181	7.09988
SPANXB1	0	0	0	0.333334	0	0
SPANXB2	0	0	0	0.333334	0	0
SPANXC	0	0	0	0	0	0
SPANXD	0	0	1	0	0	0
SPANXE	0	0	0	0	0	0
SPANXF1	0	0	0	0.333334	0	0
SPANXN1	0	0	0	1	0	0
SPANXN2	2	1	4	3	2	1
SPANXN3	0	0	0	0	0	0
SPANXN4	0	0	0	0	0	0
SPANXN5	0	0	0	0	0	0
SPARC	4	0	5	26	8	3
SPARCL1	2	3	2	1	2	3
SPAST	98.6931	106.835	128.96	144.3592	200.813	100.787
SPATA12	1	1	1	1	3	2
SPATA13	742.738	619.632	1312.1268	858.647	1901.9765	713.155
SPATA13-AS1	2	2	2	2	9	8
SPATA16	0	0	0	2	3	2
SPATA17	1	0	2	1	1	0
SPATA18	0	0	0	6	2	2
SPATA19	0	0	1	1	0	1
SPATA2	47	72	77	53	82	52.00002
SPATA20	387.0002	574.0007	406.0000472188	443	357	191
SPATA21	7	5	8	17	14	10
SPATA22	0	1	4	0	1	3
SPATA24	10	13	11	14	9	7
SPATA25	0	0	0	0	0	1
SPATA2L	115	127	153	231	149	67
SPATA3	0	0	2	1	0	0
SPATA31A1	0	0.32018	0	1.401414	4.39375	1.275892
SPATA31A2	0	0.151083	0	0.647624	2.1222	0.550002
SPATA31A3	2.39937	0	6	3.75918	0	0
SPATA31A4	0	0	0	0	3.2111	0
SPATA31A5	0	0	0	1.47204	1.06598	3.85001
SPATA31A6	3.60063	1.52874	0	7.53435	0	0
SPATA31A7	0	0	0	3.18539	2.20698	8.93124
SPATA31C1	6	0	4.49444	11.19	1	2.09783
SPATA31C2	0	3	4.50556	4.80999	1	6.29502
SPATA31D1	0	0	2	2	3	0
SPATA31D3	1	0.298364	0.244269	3	2	1.10911
SPATA31D4	0	0.701636	0.755731	0	0	2.89089
SPATA31D5P	1	0	1	7	3	2
SPATA31E1	2	3	6	9	5	4
SPATA32	3	4	10	16	8	7
SPATA4	2	0	0	0	4	1
SPATA5	264.759	349.251	388.456	395.439	484.753	253.324
SPATA5L1	19.00005	29.000010135	27	42.9999876578	20.000012664	13.0000109494
SPATA6	15.1151	19.3112	16.2155	33.2873	35.8987	21.5084
SPATA6L	16.1492	14.5864	14.5951	27.5	27.2209	19
SPATA7	13	20	17	21.99997	24	11
SPATA8	0	0	0	1	1	2
SPATA9	2	0	3	1	11	1
SPATC1	5	5	3	9	3	2
SPATC1L	9	1	13.99999	26	10	6
SPATS1	0	0	1	2	0	1
SPATS2	111.243	84.4853	97.8283	116.584	149.491	63.2107
SPATS2L	268.538200015819	253.130363	198.4759	420.8381673	233.9088038	165.7042
SPC24	137	135	106	148	106	47
SPC25	404.041	374.54	466.046	651.118	578.649	334.683
SPCS1	983	1198	1107	1704	1245	591
SPCS2	1355	1435	1280	1601	1768	966
SPCS3	1524.79	1648.26	1439.08	1795.44	1607.89	1017.67
SPDEF	2	2	5	14	12	2
SPDL1	185	213	245	339	254	174
SPDYA	4.23336	10.2709	9.68127	3.09768	19.36426	12.79587
SPDYC	1	0	2	2	1	1
SPDYE1	85.7265	83.5363	138.484	130.389	155.141	43.8035
SPDYE2	184.008	181.713	395.4571	426.954	294.511	116.6527
SPDYE2L	184.008	181.713	395.4571	426.954	294.511	116.6527
SPDYE3	38.1917	22.4098	38.1958	21.6671	56.7775	23.1547
SPDYE4	1	0	0	0	1	0
SPDYE5	217.8	228.763	363.257	379.165	343.714	127.175
SPDYE6	8.23405	23.3041	27.2814	31.7775	22.2552	12.5448
SPDYE7P	954.654	851.397	1673.49	1652.31	1614.09	670.149
SPDYE8P	111.9425	77.1837933	120.2031	136.9677	176.3477	101.0464
SPECC1	396.9885865104	347.984700022141	307.39773	374.17795	397.0120144028	193.924300964253
SPECC1L	302.0004	294.000274622	508	489.9994	542.9995	246.0002
SPEF1	1	0	4	3	3	2
SPEF2	22.99999	16.00003	34	19.00001	53	19.99998
SPEG	6	6.000005	19.00001	22	10	10
SPEM1	0	0	3	7	1	1
SPEN	682	594	877	971	1070	548
SPERT	0	0	0	2	0	1
SPESP1	1	1	4.33536	9.71649	7.3499	1
SPG11	462.9999	377	536.0001	446.00000129066	703	304
SPG20	327.9996	243.9999	497.0002	408.0005	550.9806	271.9997
SPG20OS	0	0	1	1	1.01961	1
SPG21	141	171.000423	205.0001	226	189	117
SPG7	461	517.0005	561	602.9999	715.9999	374.0002
SPHAR	0	0	0	0	0	0
SPHK1	16	17	24	16.99996	21	16
SPHK2	220.0002	250	266.9999	407.0007	342.009206013365	149
SPHKAP	0	2.99999537505	1.0000000255742	2.00000247422	6.9999988361	3.00000109489
SPI1	0	0	1.9999983	0.9999996	2.000003	2.000004
SPIB	84.3991	70.51922	113.612	133.09288009	140.816635911	64.9914
SPIC	1	2	2	2	2	0
SPICE1	56.1559	79.0394	123.86	140.499	123.708	78.6853
SPIN1	198	209	214	216	272	172
SPIN2A	0	0	0	2.40821	0	0
SPIN2B	33	43	46	55.59175	49	26
SPIN3	24.00002	22	24.99995	19.99998	13	18.99996
SPIN4	160	188	160	204	144	89
SPINK1	1	0	0	0	0	0
SPINK13	0	0	0	0	1	0
SPINK14	0	0	0	0	0	1
SPINK2	151	82.00005	39	35.99995	9	11
SPINK4	1	0	0	2	1	0
SPINK5	3	1	5.000002	3	2	3
SPINK6	0	1	0	0	0	0
SPINK7	0	0	0	0	0	0
SPINK8	0	0	0	0	1	0
SPINK9	0	0	0	0	0	0
SPINT1	8	18	19.99998	24	22	17
SPINT2	46	41	33.99998	101	28	12
SPINT3	0	0	1	0	0	0
SPINT4	1	0	0	1	0	0
SPIRE1	43.9999987780628	37	12	94.0000001	16.99997	15
SPIRE2	29.194	26.78	30.3811	35.7495	52.8423	24.0925
SPN	3270.207	3776.732	3469.572	4579.143	3990.881	2081.115
SPNS1	150.99996927733	159	135.000027	276.000231815	235.999700021517	136.000041
SPNS2	2.91259	5.36412	2.68316	12.6549	2.84518	1.30569
SPNS3	94	107	56	234	50	75
SPO11	0	0	1	0	0	2
SPOCD1	1	3	5	8	2	11
SPOCK1	1	1	1	7	4	5
SPOCK2	149.00031	58	456.9997	125.00008	827.000500204416	198.00021
SPOCK3	2	0	4	4	3.000000334	0
SPON1	15	15	27	33	35	16
SPON2	43	4.36084	89	12.78944	90	24.99995929
SPOP	486.25353	461.8776	456.3458	576.8412	669.7418	382.5205
SPOPL	72	37	86	60	92	37
SPP1	3	2	5	0	0	0
SPP2	0	1	0	2	0	0
SPPL2A	495	639	954	956	1287	550
SPPL2B	324	357.9999	365.9999	537	397.0003	203
SPPL2C	1	0	3	3	1	0
SPPL3	102.79	129.068	92.9913	150.857	153.81	61.4788
SPR	9	24	8	7	12	18
SPRED1	13.9293	17.4377	32.4957	20.7859	39.2921	16.4335
SPRED2	51	67	31.00003	85	57.99999	28
SPRED3	104.71400311436	95.6087057	129.685000706012	113.9970422401	197.081	81.7312
SPRN	49	25	44	28	57	33
SPRNP1	0	4	2	3	0	2
SPRR1A	1	0	1	0	1	0
SPRR1B	0	0	0	0	0	0
SPRR2A	1	0	0	1	0	0
SPRR2B	0	0	0	0	0	2
SPRR2C	0	0	0	0	0	0
SPRR2D	0	0	0	1	1	0
SPRR2E	0	0	0	1	0	0
SPRR2F	0	0	4	0	3	3
SPRR2G	0	0	0	0	0	0
SPRR3	0	0	1	1	0	1
SPRR4	0	0	0	0	1	0
SPRTN	92	104.99982	125	142	196.0001	89.00003
SPRY1	68.00004	137.00043	62	190.99966	29.99998	55
SPRY2	83	120	74	86	68	53
SPRY3	11.1769	4.00317	11.0602	7.09233	4.02181	4.02056
SPRY4	53.8481	42.430557722	30.9863	46.25839187	24.98	12.4391
SPRYD3	431	470	458	587	463	339
SPRYD4	137.548	133.067	92.3462	120.047	173.393	66.6254
SPRYD7	156.73441	111.11057	136.62403	189.6414	164.6455	117.53711
SPSB1	2	7	11	9	12	5
SPSB2	110	75	147.0002	139	117	55.999970452
SPSB3	596	522	811	738	1040	420
SPSB4	5	4	4	1	5	2
SPTA1	4.00353	4	7.05381	26.5202	13.0517	13.5627
SPTAN1	1972.999	1892.999	2137.997	2890.005	2576.997	1390.00012
SPTB	28	7	51	80	123	25
SPTBN1	1288	1192	1333.005	1268	1748.998	613
SPTBN2	10	11	20	30	20	21
SPTBN4	5	7	9	13.000006	10.000001	12
SPTBN5	36	12	46	32	64	11
SPTLC1	344.8536	324.4955	399.0424	504.3349	323.745	279.5189
SPTLC2	1086.77	1039.42	1367.98	1369.14	1382.71	704.261
SPTLC3	3	4	13	6	11	24
SPTSSA	173.794	191.433	181.507	197.702	223.951	142.553
SPTSSB	248	137	141	149	36	43
SPTY2D1	256.887	215.522	369.818	351.35	415.336	214.104
SPTY2D1-AS1	11.1973	2.86206	7.96495	3.52414	22.7998	11.9637
SPZ1	0	0	1	3	3	0
SQLE	461	551	500	582	572	340
SQRDL	1062	1195.0006	1352.996	2158.002	1397.001	892.000166641
SQSTM1	2337.0243	2160.8162	4112.2877	5024.1812	4682.0818	2181.216
SRA1	910.00022	959.0005	840.00058	1502.0003	1120.0005	541.99996
SRBD1	118	142	181	196	212	121
SRC	176	191	188.0004	210.0003	34	75
SRCAP	862	945	1058	1103	1242	612
SRCIN1	4	7	14	29	10	16
SRCRB4D	0	1.07084	10	7	16	5
SRD5A1	86	111	58	128	64	45
SRD5A1P1	0	0	0	0	1	1
SRD5A2	1	0	3	3	1	2
SRD5A3	99.7862	153.336	224.775	358.924	192.128	99.6603
SRD5A3-AS1	2	5	4	9	10	6
SREBF1	18	24.000000119653	41	34.0000000994957	57.000000775177	12
SREBF2	418	586	682	545	837	307
SREK1	711.299	657.7358	689.9522	1015.8526	934.2974	542.9217
SREK1IP1	119.084	112.344	145.266	180.621	156.506	92.2158
SRF	118	142	159	224	238	105
SRFBP1	141.819	130.888	108.639	127.782	203.395	121.183
SRG7	1	0	3	1	0	0
SRGAP1	56.8716	49.7178	67.4452	89.282	88.2545	48.3036
SRGAP2	173.958	218.481	215.436	223.329	226.106	131.75
SRGAP2B	0	0	10.0941	0	0	0
SRGAP2C	121.295	153.549	138.465	217.008	144.783	151.952
SRGAP2D	22.747	7.96969	19.0045	18.6623	18.1106	2.29747
SRGAP3	123.99994884	99	106	288	104	241
SRGN	6599.9988	5414.9966	8586.0029	7064.9996	9355	3131.9966
SRI	1002.99966	1336	968.99991	1957.003098	1075.000578	607
SRL	12.3	4.98761	18.0141	23.0275	25.1161	16.6489
SRM	97	136	82	276	105	114
SRMS	0	2	4	5	3	2
SRP14	3378	4028	3426	5461	3816	1936
SRP19	349.19334	363.974	330.89359	484.1108	456.4724	236.5356
SRP54	712.9999	683	776.9997	873.9998	881	473
SRP68	316	340.0003	323.9998	449.000000713652	429.00040061018	196
SRP72	727.0002	945	783.00001	1259	769	559.00005
SRP9	2357.005	2619.002	2480.996	3148.999	2794.998	1581.004
SRPK1	379.0003	475.0002	417.9999	637.9996	549	359.0003
SRPK2	427.9998	367.9997	523.0004	433.0002	748	242.9997
SRPK3	8	4	2	4	11	5
SRPR	975	1081	1324.9983	1577.9974	1615.999	724.837
SRPRB	444	647	423	917	544	282
SRPX	4	1	0	1	1	0
SRPX2	1	0	2	2	1	1
SRR	114.172	121.313	76.5097	173.699	136.007	82.2028
SRRD	48	45	39	55	78	24
SRRM1	1039	1199	1037	1497	1240	602
SRRM2	2382	2712	2581.99	3226	3047	1489.99
SRRM2-AS1	39.0717	18.1937	40.79094	32.6258	64.0051	31.4009
SRRM3	2	2	5	2	1	1
SRRM4	11.6184	7.00585	22.805	26.8246	17.6881	15.3054
SRRM5	3.29388	15.2696	4.27745	3.26534	7.2802	8.5952
SRRT	913.0001	1024.9997	1025	1509	1239.0001	619.0006
SRSF1	1804.6711	2350.8932	1825.581	2493.7233	1951.4395	1288.6584
SRSF10	876.7388	967.2729	1012.3783	1455.5727	1204.8399	752.8082
SRSF11	1125	1031	1193	1433	1559.005	720
SRSF12	24.709	30.5226	39.6982	42.3131	68.9518	38.9124
SRSF2	2422.841	4914.006	2848.999	4350.998	3045.48	2130.338
SRSF3	7261.001	8564.998	7417.996	10888.029	7660.997	4351.997
SRSF4	1067	1156	1482	1938	1568	942
SRSF5	3119.68	3179.16	3934.63	3240.69	5253.54	2054.769
SRSF6	1548.2728	1853.6558	1731.2677	2305.4575	1838.803	1335.8008
SRSF7	1719.995	2457.999	1720.996	3280.002	1993.001	1212.9972
SRSF8	139.161	129.381	180.499	199.075	227.075	101.293
SRSF9	247.057	245.058	124.851	311.414	158.849	103.736
SRXN1	41	51	53	110	76	31
SRY	0	0	1	0	0	0
SS18	527.623	557.968	704.014	788.598	835.787	503.98
SS18L1	100.058	92.891	100.324	111.941	123.266	92.1479
SS18L2	219	243	216	297	256	126
SSB	558.626	544	526.604	683	605	346
SSBP1	700.00022	802.99966	614.99989	1284.99985	793.00024	381.0003
SSBP2	226.30498	193.41261	190.28243085	198.96772	158.1	85.35615
SSBP3	171.000200621654	149.000000427081	149	195.9999	189.9998	87
SSBP4	199.3216	222.8024	96.9637	271.4437	132.699	81.1781
SSC5D	12	6	15	13	5	5
SSFA2	143.9997	136	108	169.0004	174	116
SSH1	410.7088	329.27304	470.7106	418.44642	646.85564	315.67936
SSH2	354	255	342.713	270	440	206
SSH3	156	123	156	199	132	90
SSNA1	520	621	635	1343	588	377
SSPN	1	1	5	1	2	1
SSPO	9	14	23	29	18	21
SSR1	1241.56	1407.39	1103.34	1670.27	1539.99	908.701
SSR2	4829	5741	4476	6284	4854	2055
SSR3	853.591	996.673	675.92	1089.45	837.335	541.425
SSR4	1755.09216	1435.06144	1537.2054	1915.12854	1757.49326	662.2474
SSR4P1	1	7	12	6	4	1
SSRP1	672	701	524	945	670	341
SSSCA1	188	176	224	392	219	121
SST	0	0	1	0	0	0
SSTR1	1	0	2	3	1	1
SSTR2	67.1481	52.4208	87.8445	80.1788	107.841	54.6978
SSTR3	2	2	1	2	2	1
SSTR4	1	0	0	2	0	4
SSTR5	0	1.0000002	3	2.99999891	1.00000032	0
SSTR5-AS1	17.3997	18.6185	30.2267	29.8398	36.1295	18.5882
SSU72	514	493	476	755	576	317
SSUH2	1	0	1	2.000000932121	0	0
SSX1	0	0	5.75932	3.48614	5.00268	6.9121
SSX2	0.7101457	0	0.58069169	4.01707	7.119175	4.425767
SSX2B	0.7101457	0	0.58069169	0	0	0
SSX2IP	57.999949357	34	79.00007	70.00003597	144	46
SSX3	3.01815	1	0	2	2	2.40935
SSX4	1.248136	0	0	0	1.999978	0
SSX4B	8.6191e-07	0	0	0	2.25364e-05	0
SSX5	4.49801	4.28074	6.0926	9.36921	7.5521	1.48964
SSX6	1	3.71546	1.10323	1.07474	1	1.11425
SSX7	2.64319	1.54672	5	13.9253	10	2
SSX8	0	4.73782	0	3	4	0
SSX9	1	0	1.3141	1	0	0
ST13	1195	1211.71	1179.68	1529.63	1556.57	902.792
ST13P4	0	3.29335	3.32082	3.3706	13.4314	2.20839
ST14	2	1	3	8	4	2
ST18	3	1.00502	7.03642	6	9.01227	1.00512
ST20	94.17673	94.67096	110.8668	163.8284	88.83052	54.80916
ST20-MTHFS	13.2265	10.712	11.7282	0	19.1929	9.498
ST3GAL1	1431.136	1248.345	1922.751	1742.234	1646.182	612.008
ST3GAL2	358.901	370.223	437.009	411.238	446.18	239.233
ST3GAL3	158.00002	214.000060274958	177.00003	199.99998079	211.99995645	129.99995425564
ST3GAL4	92.00002	107.999974	224.99964	154	287.00036	111.00003
ST3GAL5	100	79	129	87	129	48
ST3GAL6	24.2888	39.6473	59.3281	51.8173	43.8085	32.3621
ST3GAL6-AS1	1	0	0	0	2	0
ST5	3.999999	3	26	15	50	7
ST6GAL1	221.9999	301.9997	290.9997	359.9991	394.0004	176.9999
ST6GAL2	34.4117137855	19.861937925	30.4261584559	33.658030079	49.34431526	22.1231956854
ST6GALNAC1	2	5	9	2	5	0
ST6GALNAC2	8	4	6	5	9	3
ST6GALNAC3	1	0	0	2.9999991	0	4
ST6GALNAC4	150	165.000153431	180.9997	289	183.99959	94
ST6GALNAC5	0	0	0	3	1	0
ST6GALNAC6	1128	1027	1066	1379	1216	672
ST7	78.99995	62.96119	96.73956	78.9538	129.9999	44.00005
ST7-AS1	0	0	1.04809	1.04611	0	0
ST7-AS2	0	1.03885	2	3	2	0
ST7-OT3	2	0	5.2123	3	5	6
ST7-OT4	11	10	14	10	26	13
ST7L	33.01396	24.9999809	38.0167	52.000055363	63.05128	31.0000000280044
ST8SIA1	31.9877	52.6333	64.8728	79.8581	75.9642	66.2026
ST8SIA2	1	1	7	4	2	2
ST8SIA3	4	1	5.02053	3.00133	2.01101	3.04111
ST8SIA4	435.1961	447.3882	618.4803	570.8738	924.249	414.8459
ST8SIA5	1	1	5	1	5	4
ST8SIA6	4	5	9	5	19	4
ST8SIA6-AS1	1	0	4	2	4	1
STAB1	5.01547	6.0158	17	12.0219	9.02752	11.0481
STAB2	10	3	3	19	7	5
STAC	10	7	15	38	7	15
STAC2	45.1477	42.4385	62.0814	64.1142	80.4095	35.4302
