Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ACPP	12.3468	7.028	15.1237	12.0904	7.00363	6.06002	11.0118	8.04841	3.00757	10.0051	8.07959	7.01184	3.0252	16.033	13.2316
ACPT	6	3	6	1	0	2	7	8	7	1	1	3	10	18	6
ACR	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2
ACRBP	4	0	2	1	4	1	3	5	5	9	6	2	1	7	8
ACRC	125	12	11	76	50	21	10	21	25	55	32	16	16	29	67
ACRV1	1	2	5	18.00002	2	3	9	5	20.99999	2	0	5	4	10	1
ACSBG1	0	0	10.9999916	4.9999974	2.0000021	0.99999959	6	3.0000018	0	0	4.0000043	6.0000017	1.0000005	1.9999952	3.9999975
ACSBG2	8	5	4	9	8	1	6	4	10	6	2	4	5	10	9
ACSF2	125	31	87	17	49	64	32	41	53	101	65	30	55	92	94
ACSF3	457.000026148888	179.999920420342	457.0000856	454.99920120117	290.9994	173.99999	329.0009	312	427.999700275136	294.9997	185.00002721	352.99990202614	262.00008	399.99973417555	263.99958
ACSL1	388	237	329	441	202	193	311	284	421	394	94	142	119	154	135
ACSL3	329	137	118	230.9996	69	121.9998	134	119	154	113	79	119	136	165	169.0003
ACSL4	293.0005	96	140	157.9998	74	89	140	93	147	83	76	116.9999	118	170.0003	67
ACSL5	1080.9999	426.0005	410.0002	768.0003	226.9997	186.0005	459.00025639	448.9995	466.0004	365.0001	264.9997	447	449	579.9997	529.9993
ACSL6	58.860301007778	43.7562	105.8530089325	151.61866	52.311015625952	43.7474578166	25.6929	33.21463	33.733419935	30.5299	25.9851000146307	30.0909	26.4408	39.4959	32.15903103111
ACSM1	7	0	0	0	1	0	2	0	0	1	3	1	0	0	0
ACSM2A	11	5	0	3	4	3.15891	0	1	3	0	0	4	1	2	0
ACSM2B	0	0	1	0	0	1.841090104359	1.000000101695	0	0	3	4	0	1.0000000650923	0	2.000000319821
ACSM3	22.00004	9.22104	4.19685	17.8854	12	3	13.00004	5.47071	5	0	4.48615	6.08909	1	12.21876	12.717800176611
ACSM4	8	0	0	0	0	0	1	0	0	2	1	1	0	0	5
ACSM5	1	3	4	0	4	1	2	0	0	2	0	4	1	2	3
ACSS1	1148.998218947	90.000000205461	115.00001	353.99957	241.99974	274.000201211491	213.9998	143.000002527	163.99980323033	346.000000686246	332.000098	162.99999393	185.99958	253.9995378255	563.000003241057
ACSS2	4	0	18	1	6	2	1	4	1	2	6	8	9	4.000000793075	15
ACSS3	23.8691	1.03941	10.5001	3.09249	5.17336	6.236	3.162	1.03566	13.3762	2.10198	3.07944	7.2806	4.1687	4.27077	11.2748
ACTA1	42.4724	41.0177	58.0145	65.7469	18.0025	28.8569	73.0179	76.0233	71.7949	45.9174	20.005	73.8601	75.0204	76.0147	24.0058
ACTA2	1508.0005	232	396.00027921	700.0002	383.9996954	272.0002	360	422	524.000146	535.00046161	251.9998	120	112	282	309.0001
ACTB	273178	231773	274224	391097	117644	137766	427937	422553	449044	182379	127173	433740	414903	463409	167586
ACTBL2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3
ACTC1	0	0	0	2.01476	0	1.00005	3.00005	7.10826	0	0	2.01941	1.00001	0	1.00001	3.00008
ACTG1	75416.3326	49527.123	65006.1011	81944.66	27133.703	32431.373	86504.955	87848.718	94499.095	41405.378	29418.6255	74785.7037	66238.211	78163.2139	40929.735
ACTG1P4	1.00724	0	3.00005	10.4313	0	2.00002	0	2.00003	1.00002	1.00954	2.02538	5.04709	2.00004	2.61591	1.79371
ACTG2	12	2	0	0	1	0	14	3	0	0	14	21.00003	11	24.99997	10
ACTL10	116	51	102	41	27	37	60	58	81	39	52	70	80	86	41
ACTL6A	622.0001	400.0006	436.0002	723.9999	201.9996	143.0004	592	576.0001	754.00014	318.9999	112	362.00032	416.0004	428.99994	154
ACTL6B	9	2	1	0	1	0	0	0	0	0	1	2	1	0	3
ACTL7A	0	2	1	2	0	1	2	1	0	0	0	1	0	0	0
ACTL7B	11	0	0	1	1	0	0	0	0	2	0	0	0	11	0
